name,score,price
"dev",0.50058156,2299.0
"study",0.6283996,3829.0
"gaming",0.5129017,3829.0
"design",0.5325262,3829.0
"dev",0.58977,3829.0
"study",0.61286837,3409.0
"gaming",0.50483364,3409.0
"design",0.5165636,3409.0
"dev",0.574846,3409.0
"study",0.7854451,5699.0
"gaming",0.59713805,5699.0
"design",0.6527716,5699.0
"dev",0.7158484,5699.0
"study",0.52598804,2090.0
"gaming",0.42951334,2090.0
"design",0.4120226,2090.0
"dev",0.48245978,2090.0
"study",0.60750246,3589.0
"gaming",0.50394666,3589.0
"design",0.51434284,3589.0
"dev",0.57104665,3589.0
"study",0.6070383,2795.0
"gaming",0.5038227,2795.0
"design",0.5147318,2795.0
"dev",0.571744,2795.0
"study",0.6032139,3499.0
"gaming",0.5097519,3499.0
"design",0.5236134,3499.0
"dev",0.57147974,3499.0
"study",0.5742136,2139.0
"gaming",0.48291594,2139.0
"design",0.482222,2139.0
"dev",0.53632367,2139.0
"study",0.69044286,5049.0
"gaming",0.6353134,5049.0
"design",0.65045315,5049.0
"dev",0.6781054,5049.0
"study",0.6074674,6129.0
"gaming",0.51992244,6129.0
"design",0.5486524,6129.0
"dev",0.6112675,6129.0
"study",0.58127934,1849.0
"gaming",0.4421263,1849.0
"design",0.44830465,1849.0
"dev",0.53790957,1849.0
"study",0.6032139,2949.0
"gaming",0.5035825,2949.0
"design",0.5135637,2949.0
"dev",0.57040906,2949.0
"study",0.62702465,4099.0
"gaming",0.512785,4099.0
"design",0.53227633,4099.0
"dev",0.58956563,4099.0
"study",0.52489287,1799.0
"gaming",0.4259614,1799.0
"design",0.41146064,1799.0
"dev",0.4823339,1799.0
"study",0.62959754,4089.0
"gaming",0.5134348,4089.0
"design",0.5339896,4089.0
"dev",0.59294975,4089.0
"study",0.57170767,2099.0
"gaming",0.48270312,2099.0
"design",0.4817667,2099.0
"dev",0.53595114,2099.0
"study",0.5774071,2199.0
"gaming",0.4787174,2199.0
"design",0.48072374,2199.0
"dev",0.5356127,2199.0
"study",0.5973453,4299.0
"gaming",0.5030841,4299.0
"design",0.5124974,4299.0
"dev",0.56953657,4299.0
"study",0.5985679,2559.0
"gaming",0.50318795,2559.0
"design",0.5127196,2559.0
"dev",0.56971836,2559.0
"study",0.62500584,4899.0
"gaming",0.5578357,4899.0
"design",0.57014084,4899.0
"dev",0.59725356,4899.0
"study",0.7022825,4799.0
"gaming",0.583964,4799.0
"design",0.6377832,4799.0
"dev",0.6715169,4799.0
"study",0.5149841,1399.0
"gaming",0.46149462,1399.0
"design",0.42545322,1399.0
"dev",0.514606,1399.0
"study",0.61443263,5190.0
"gaming",0.52831596,5190.0
"design",0.54015434,5190.0
"dev",0.5867467,5190.0
"study",0.605205,2799.0
"gaming",0.5037516,2799.0
"design",0.51392543,2799.0
"dev",0.57070506,2799.0
"study",0.53156126,1565.0
"gaming",0.46782336,1565.0
"design",0.4494003,1565.0
"dev",0.50135857,1565.0
"study",0.62776995,3369.0
"gaming",0.53233933,3369.0
"design",0.5346996,3369.0
"dev",0.592801,3369.0
"study",0.62793124,2649.0
"gaming",0.5181735,2649.0
"design",0.535978,2649.0
"dev",0.5925015,2649.0
"study",0.6294677,3649.0
"gaming",0.5134238,3649.0
"design",0.533966,3649.0
"dev",0.59293044,3649.0
"study",0.608388,4449.0
"gaming",0.5044532,4449.0
"design",0.5157496,4449.0
"dev",0.57417995,4449.0
"study",0.5799131,2229.0
"gaming",0.47893018,2229.0
"design",0.48117903,2229.0
"dev",0.53598523,2229.0
"study",0.75116205,7340.0
"gaming",0.5495051,7340.0
"design",0.60394645,7340.0
"dev",0.68484044,7340.0
"study",0.60229236,3449.0
"gaming",0.50341964,3449.0
"design",0.5138696,3449.0
"dev",0.5710385,3449.0
"study",0.62554187,6699.0
"gaming",0.55788124,6699.0
"design",0.57023823,6699.0
